ID,Year,ProductName,Company,Country,IndustryGroup,WeightKG,CarbonFootprintKG,ProtocolPCF,ChangePCF,ChangeReason,UpstreamPercentTotalPCF,OperationsPercentTotalPCF,DownstreamPercentTotalPCF
10056-1-2014,2014,Frosted Flakes(R) Cereal,Kellogg Company,USA,"Food, Beverage & Tobacco",0.7485,2,,,N/a (no %change reported),0.575,0.3,0.125
10056-1-2015,2015,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)",Kellogg Company,USA,Food & Beverage Processing,0.7485,2,,,N/a (no %change reported),0.575,0.3,0.125
10222-1-2013,2013,Office Chair,KNOLL INC,USA,Capital Goods,20.68,72.54,,,N/a (no previous data available),0.8063,0.1736,0.0201
10261-1-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,1488,ISO,,N/a (no previous data available),0.3065,5.51E-02,0.6384
10261-2-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,1818,ISO,,N/a (no previous data available),0.2508,4.51E-02,0.7041
10261-3-2017,2017,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,2274,ISO,,N/a (no previous data available),0.2005,0.0361,0.7634
10324-1-2016,2016,KURALON  fiber,"Kuraray Co., Ltd.",Japan,Materials,1500,10000,,,N/a (no %change reported),,,
10418-1-2013,2013,Portland Cement,Lafarge S.A.,France,Materials,1000,1102,,,N/a (no %change reported),,,
10661-10-2014,2014,Regular Straight 505® Jeans – Steel (Water<Less™),Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,15,,,N/a (no %change reported),,,
10661-10-2015,2015,Regular Straight 505® Jeans – Steel (Water<Less™),Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.7665,15,,,N/a (no %change reported),,,
10661-10-2016,2016,Regular Straight 505® Jeans – Steel (Water<Less™),Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,15,,,N/a (no %change reported),,,
10661-11-2014,2014,501® Original Jeans – Rinse Run,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,15,,,N/a (no %change reported),,,
10661-11-2015,2015,501® Original Jeans – Rinse Run,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,,,N/a (no %change reported),,,
10661-1-2014,2014,501® Original Jeans – Dark Stonewash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,PAS2050,,N/a (no %change reported),,,
10661-1-2015,2015,501® Original Jeans – Dark Stonewash,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,PAS2050,,N/a (no %change reported),,,
10661-1-2016,2016,501® Original Jeans – Dark Stonewash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,PAS2050,,N/a (no %change reported),,,
10661-2-2014,2014,Slim Straight 514™ Jeans – Indigo Wash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,8.6,PAS2050,,N/a (no %change reported),,,
10661-2-2015,2015,Slim Straight 514™ Jeans – Indigo Wash,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,8.6,,,N/a (no %change reported),,,
10661-2-2016,2016,Slim Straight 514™ Jeans – Indigo Wash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.88,8.6,,,N/a (no %change reported),,,
10661-3-2014,2014,Slim Straight 514™ Jeans – Rigid Tank,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,7.7,,,N/a (no %change reported),,,
10661-3-2015,2015,Slim Straight 514™ Jeans – Rigid Tank,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,7.7,,,N/a (no %change reported),,,
10661-3-2016,2016,Slim Straight 514™ Jeans – Rigid Tank,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.88,7.7,,,N/a (no %change reported),,,
10661-4-2014,2014,501® Original Jeans – Light Stonewash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,15,,,N/a (no %change reported),,,
10661-4-2015,2015,501® Original Jeans – Light Stonewash,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,15,,,N/a (no %change reported),,,
10661-5-2014,2014,501® Original Jeans – Medium Stonewash,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,,,N/a (no %change reported),,,
10661-5-2015,2015,501® Original Jeans – Medium Stonewash,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,,,N/a (no %change reported),,,
10661-6-2014,2014,Slim Straight 514™ Jeans – Tumbled Rigid,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,16,,,N/a (no %change reported),,,
10661-6-2015,2015,Slim Straight 514™ Jeans – Tumbled Rigid,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,16,,,N/a (no %change reported),,,
10661-7-2014,2014,Regular Straight 505® Jeans – Range (Water<Less™),Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,16,,,N/a (no %change reported),,,
